iter	Passed	Remaining
805	4593	1105
806	4599	1099
807	4605	1094
808	4611	1088
809	4617	1083
810	4624	1077
811	4630	1072
812	4636	1066
813	4642	1060
814	4648	1055
815	4653	1049
816	4659	1043
817	4664	1037
818	4670	1032
819	4676	1026
820	4682	1020
821	4687	1015
822	4693	1009
823	4698	1003
824	4704	997
825	4709	992
826	4715	986
827	4720	980
828	4727	975
829	4732	969
830	4738	963
831	4744	958
832	4750	952
833	4756	946
834	4762	941
835	4767	935
836	4774	929
837	4780	924
838	4786	918
839	4792	912
840	4798	907
841	4804	901
842	4809	895
843	4815	890
844	4820	884
845	4826	878
846	4832	872
847	4837	867
848	4844	861
849	4849	855
850	4855	850
851	4861	844
852	4866	838
853	4872	833
854	4878	827
855	4883	821
856	4889	815
857	4894	809
858	4899	804
859	4905	798
860	4911	792
861	4917	787
862	4923	781
863	4929	775
864	4934	770
865	4940	764
866	4945	758
867	4950	752
868	4956	747
869	4962	741
870	4968	735
871	4974	730
872	4980	724
873	4985	718
874	4991	713
875	4997	707
876	5003	701
877	5009	696
878	5014	690
879	5020	684
880	5025	678
881	5030	673
882	5035	667
883	5041	661
884	5048	655
885	5054	650
886	5060	644
887	5066	639
888	5072	633
889	5078	627
890	5085	622
891	5091	616
892	5097	610
893	5103	605
894	5109	599
895	5114	593
896	5120	587
897	5126	582
898	5132	576
899	5137	570
900	5142	565
901	5148	559
902	5153	553
903	5160	547
904	5166	542
905	5172	536
906	5178	530
907	5184	525
908	5189	519
909	5196	513
910	5201	508
911	5207	502
912	5213	496
913	5219	491
914	5224	485
915	5230	479
916	5236	473
917	5242	468
918	5247	462
919	5253	456
920	5259	451
921	5265	445
922	5270	439
923	5276	434
924	5282	428
925	5287	422
926	5292	416
927	5297	411
928	5304	405
929	5310	399
930	5315	393
931	5321	388
932	5327	382
933	5332	376
934	5337	371
935	5342	365
936	5348	359
937	5354	353
938	5360	348
939	5366	342
940	5371	336
941	5377	331
942	5383	325
943	5388	319
944	5393	313
945	5398	308
946	5403	302
947	5408	296
948	5414	290
949	5419	285
950	5424	279
951	5429	273
952	5435	268
953	5440	262
954	5446	256
955	5452	250
956	5457	245
957	5464	239
958	5469	233
959	5475	228
960	5481	222
961	5486	216
962	5492	211
963	5498	205
964	5503	199
965	5509	193
966	5515	188
967	5521	182
968	5527	176
969	5533	171
970	5539	165
971	5545	159
972	5551	154
973	5557	148
974	5564	142
975	5569	136
976	5575	131
977	5581	125
978	5587	119
979	5593	114
980	5598	108
981	5604	102
982	5610	97
983	5616	91
984	5622	85
985	5627	79
986	5633	74
987	5639	68
988	5645	62
989	5651	57
990	5657	51
991	5663	45
992	5669	39
993	5675	34
994	5680	28
995	5686	22
996	5693	17
997	5699	11
998	5704	5
999	5710	0
